,x,y,z
1504,1318.095126316942,-5742.3350453749135,3739.332008915251
1505,1315.4872162440774,-5738.890548722894,3745.5332146354012
1506,1312.8777630456902,-5735.439320094797,3751.7300266770576
1507,1310.266769782789,-5731.981363539071,3757.922437771076
1508,1307.6542395181837,-5728.516683112051,3764.110440653487
1509,1305.0401753164897,-5725.0452828779635,3770.2940280654825
1510,1302.4245802441237,-5721.56716690892,3776.473192753434
1511,1299.8074573692936,-5718.0823392849015,3782.6479274689095
1512,1297.1888097620038,-5714.590804093771,3788.818224968664
1513,1294.5686404940436,-5711.092565431254,3794.9840780146656
1514,1291.9469526389903,-5707.5876274009415,3801.1454793740895
1515,1289.3237492722014,-5704.075994114284,3807.302421819334
1516,1286.6990334708119,-5700.557669690585,3813.4548981280336
1517,1284.0728083137315,-5697.032658256996,3819.602901083053
1518,1281.4450768816391,-5693.500963948512,3825.746423472513
1519,1278.8158422569823,-5689.962590907973,3831.885458089785
1520,1276.185107523972,-5686.417543286046,3838.019997733503
1521,1273.552875768576,-5682.865825241231,3844.1500352075814
1522,1270.9191500785232,-5679.307440939856,3850.275563321206
1523,1268.2839335432889,-5675.7423945560595,3856.3965748888636
1524,1265.647229254102,-5672.170690271806,3862.51306273033
1525,1263.0090403039353,-5668.592332276864,3868.6250196706883
1526,1260.3693697875015,-5665.007324768806,3874.7324385403435
1527,1257.728220801254,-5661.415671953009,3880.8353121750138
1528,1255.0855964433772,-5657.81737804264,3886.93363341576
1529,1252.4414998137888,-5654.21244725866,3893.0273951089757
1530,1249.7959340141347,-5650.600883829818,3899.116590106402
1531,1247.1489021477796,-5646.982691992635,3905.201211265145
1532,1244.500407319812,-5643.357875991416,3911.2812514476664
1533,1241.8504526370343,-5639.726440078231,3917.356703521811
1534,1239.1990412079624,-5636.088388512918,3923.4275603607994
1535,1236.5461761428223,-5632.443725563074,3929.4938148432407
1536,1233.8918605535414,-5628.792455504051,3935.555459853151
1537,1231.2360975537538,-5625.134582618957,3941.612488279944
1538,1228.5788902587851,-5621.470111198636,3947.6648930184597
1539,1225.9202417856613,-5617.799045541679,3953.712666968951
1540,1223.2601552530964,-5614.121389954414,3959.755803037108
1541,1220.5986337814893,-5610.43714875089,3965.794294134064
1542,1217.9356804929264,-5606.746326252893,3971.828133176394
1543,1215.2712985111698,-5603.048926789919,3977.8573130861387
1544,1212.6054909616587,-5599.344954699185,3983.881826790797
1545,1209.9382609715071,-5595.634414325618,3989.901667223342
1546,1207.2696116694929,-5591.917310021845,3995.916827322235
1547,1204.599546186064,-5588.193646148201,4001.9273000314197
1548,1201.9280676533244,-5584.463427072705,4007.933078300345
1549,1199.2551792050397,-5580.726657171075,4013.9341550839627
1550,1196.5808839766287,-5576.98334082671,4019.9305233427376
1551,1193.905185105158,-5573.233482430685,4025.922176042666
1552,1191.2280857293435,-5569.477086381756,4031.909106155265
1553,1188.5495889895421,-5565.71415708634,4037.8913066576015
1554,1185.8696980277514,-5561.944698958525,4043.8687705322845
1555,1183.1884159876038,-5558.168716420054,4049.8414907674774
1556,1180.5057460143626,-5554.386213900323,4055.809460356917
1557,1177.821691254921,-5550.597195836379,4061.772672299902
1558,1175.1362548577945,-5546.801666672906,4067.731119601322
1559,1172.449439973121,-5542.999630862234,4073.6847952716494
1560,1169.7612497526559,-5539.191092864321,4079.6336923269514
1561,1167.0716873497652,-5535.37605714675,4085.5778037889113
1562,1164.380755919428,-5531.554528184734,4091.517122684814
1563,1161.6884586182255,-5527.726510461093,4097.4516420475775
1564,1158.9947986043449,-5523.892008466267,4103.381354915741
1565,1156.2997790375703,-5520.051026698298,4109.306254333484
1566,1153.6034030792787,-5516.203569662828,4115.226333350638
1567,1150.9056738924432,-5512.3496418731,4121.1415850226795
1568,1148.2065946416176,-5508.4892478499405,4127.052002410758
1569,1145.506168492945,-5504.622392121767,4132.957578581686
1570,1142.8043986141472,-5500.749079224576,4138.858306607957
1571,1140.1012881745191,-5496.869313701935,4144.754179567755
1572,1137.396840344933,-5492.983100104985,4150.645190544953
1573,1134.691058297825,-5489.090442992426,4156.531332629134
1574,1131.9839452072006,-5485.191346930522,4162.412598915589
1575,1129.2755042486242,-5481.285816493086,4168.288982505328
1576,1126.56573859922,-5477.373856261483,4174.160476505086
1577,1123.854651437663,-5473.455470824615,4180.027074027342
1578,1121.1422459441799,-5469.530664778924,4185.8887681903125
1579,1118.4285253005448,-5465.599442728385,4191.745552117968
1580,1115.7134926900733,-5461.661809284497,4197.597418940038
1581,1112.9971512976226,-5457.717769066284,4203.444361792015
1582,1110.2795043095803,-5453.767326700277,4209.286373815179
1583,1107.5605549138686,-5449.810486820524,4215.123448156588
1584,1104.8403062999375,-5445.847254068576,4220.95557796909
1585,1102.118761658761,-5441.8776330934825,4226.782756411335
1586,1099.3959241828336,-5437.901628551788,4232.604976647778
1587,1096.6717970661643,-5433.919245107523,4238.4222318487
1588,1093.9463835042782,-5429.930487432203,4244.2345151901945
1589,1091.2196866942056,-5425.935360204819,4250.041819854195
1590,1088.4917098344856,-5421.933868111834,4255.8441390284725
1591,1085.762456125158,-5417.926015847181,4261.641465906644
1592,1083.0319287677582,-5413.911808112244,4267.4337936881875
1593,1080.3001309653187,-5409.8912496158755,4273.221115578441
1594,1077.5670659223592,-5405.864345074366,4279.003424788618
1595,1074.8327368448888,-5401.8310992114575,4284.780714535811
1596,1072.097146940399,-5397.7915167583305,4290.552978042996
1597,1069.3602994178573,-5393.745602453591,4296.320208539053
1598,1066.6221974877114,-5389.693361043284,4302.0823992587575
1599,1063.882844361875,-5385.634797280866,4307.839543442808
1600,1061.142243253733,-5381.569915927214,4313.591634337809
1601,1058.400397378135,-5377.498721750622,4319.338665196304
1602,1055.6573099513867,-5373.421219526776,4325.080629276768
1603,1052.9129841912559,-5369.337414038777,4330.8175198436165
1604,1050.167423316956,-5365.247310077103,4336.549330167223
1605,1047.4206305491557,-5361.150912439635,4342.276053523915
1606,1044.6726091099667,-5357.048225931633,4347.9976831959875
1607,1041.9233622229385,-5352.939255365727,4353.7142124717175
1608,1039.1728931130644,-5348.824005561929,4359.425634645352
1609,1036.421205006765,-5344.7024813476055,4365.131943017145
1610,1033.6683011318953,-5340.574687557493,4370.833130893336
1611,1030.9141847177361,-5336.440629033682,4376.529191586174
1612,1028.158858994988,-5332.300310625602,4382.2201184139285
1613,1025.4023271957726,-5328.153737190039,4387.905904700883
1614,1022.6445925536241,-5324.000913591102,4393.586543777361
1615,1019.8856583034897,-5319.841844700245,4399.262028979713
1616,1017.1255276817243,-5315.676535396243,4404.932353650341
1617,1014.364203926083,-5311.504990565187,4410.597511137701
1618,1011.601690275724,-5307.3272151004885,4416.257494796307
1619,1008.8379899711979,-5303.143213902864,4421.912297986748
1620,1006.0731062544502,-5298.952991880335,4427.561914075683
1621,1003.3070423688148,-5294.756553948222,4433.206336435858
1622,1000.5398015590062,-5290.553905029133,4438.845558446117
1623,997.7713870711246,-5286.345050052964,4444.479573491393
1624,995.0018021526422,-5282.129993956891,4450.108374962741
1625,992.231050052407,-5277.908741685363,4455.73195625732
1626,989.4591340206367,-5273.6812981901,4461.350310778416
1627,986.6860573089112,-5269.447668430081,4466.963431935451
1628,983.9118231701767,-5265.207857371546,4472.571313143976
1629,981.1364348587309,-5260.96186998798,4478.173947825701
1630,978.3598956302303,-5256.70971126012,4483.771329408482
1631,975.5822087416814,-5252.451386175939,4489.363451326339
1632,972.8033774514331,-5248.186899730639,4494.9503070194605
1633,970.0234050191813,-5243.91625692666,4500.531889934215
1634,967.2422947059566,-5239.639462773654,4506.108193523159
1635,964.4600497741269,-5235.356522288492,4511.679211245034
1636,961.6766734873914,-5231.067440495257,4517.244936564784
1637,958.8921691107731,-5226.772222425232,4522.805362953572
1638,956.1065399106236,-5222.470873116906,4528.3604838887595
1639,953.3197891546072,-5218.163397615948,4533.910292853947
1640,950.5319201117097,-5213.849800975223,4539.454783338957
1641,947.7429360522277,-5209.5300882547745,4544.99394883985
1642,944.9528402477622,-5205.204264521817,4550.527782858942
1643,942.1616359712228,-5200.87233485074,4556.056278904794
1644,939.369326496815,-5196.534304323084,4561.579430492236
1645,936.5759151000451,-5192.19017802756,4567.097231142358
1646,933.7814050577098,-5187.839961060022,4572.609674382536
1647,930.9857996478933,-5183.483658523466,4578.116753746426
1648,928.1891021499682,-5179.121275528035,4583.618462773975
1649,925.3913158445841,-5174.752817190995,4589.114795011434
1650,922.5924440136712,-5170.378288636748,4594.605744011358
1651,919.7924899404321,-5165.997694996812,4600.091303332616
1652,916.9914569093368,-5161.611041409817,4605.571466540404
1653,914.1893482061241,-5157.218333021506,4611.0462272062405
1654,911.3861671177929,-5152.819574984722,4616.515578907989
1655,908.5819169325991,-5148.414772459405,4621.979515229855
1656,905.7766009400572,-5144.003930612592,4627.438029762391
1657,902.9702224309253,-5139.5870546183905,4632.891116102522
1658,900.1627846972136,-5135.164149657999,4638.3387678535255
1659,897.3542910321709,-5130.735220919681,4643.780978625067
1660,894.5447447302864,-5126.300273598768,4649.217742033188
1661,891.7341490872858,-5121.859312897655,4654.649051700319
1662,888.9225074001217,-5117.412344025787,4660.074901255292
1663,886.1098229669778,-5112.959372199659,4665.495284333342
1664,883.2960990872572,-5108.500402642804,4670.910194576118
1665,880.4813390615853,-5104.035440585795,4676.319625631682
1666,877.6655461918027,-5099.564491266235,4681.723571154534
1667,874.8487237809584,-5095.087559928742,4687.122024805602
1668,872.0308751333147,-5090.604651824964,4692.514980252255
1669,869.2120035543312,-5086.115772213549,4697.902431168319
1670,866.392112350672,-5081.620926360155,4703.28437123407
1671,863.5712048301964,-5077.120119537439,4708.660794136251
1672,860.7492843019563,-5072.6133570250495,4714.031693568075
1673,857.9263540761904,-5068.100644109621,4719.397063229236
1674,855.1024174643209,-5063.581986084765,4724.756896825919
1675,852.2774777789532,-5059.057388251074,4730.111188070798
1676,849.4515383338687,-5054.526855916102,4735.459930683044
1677,846.6246024440217,-5049.990394394369,4740.803118388345
1678,843.796673425533,-5045.448009007347,4746.140744918904
1679,840.9677545956931,-5040.899705083458,4751.4728040134405
1680,838.1378492729468,-5036.345487958062,4756.799289417218
1681,835.3069607769025,-5031.785362973465,4762.1201948820235
1682,832.4750924283197,-5027.2193354789,4767.435514166196
1683,829.6422475491057,-5022.6474108305165,4772.745241034633
1684,826.8084294623162,-5018.069594391392,4778.049369258781
1685,823.9736414921449,-5013.485891531507,4783.347892616664
1686,821.1378869639259,-5008.896307627751,4788.640804892873
1687,818.3011692041284,-5004.300848063914,4793.928099878584
1688,815.4634915403468,-4999.699518230675,4799.209771371568
1689,812.624857301307,-4995.0923235256005,4804.485813176182
1690,809.7852698168515,-4990.479269353135,4809.756219103396
1691,806.9447324179455,-4985.860361124601,4815.020982970785
1692,804.103248436668,-4981.235604258186,4820.280098602544
1693,801.2608212062038,-4976.605004178931,4825.533559829499
1694,798.4174540608509,-4971.968566318743,4830.781360489097
1695,795.5731503360041,-4967.326296116369,4836.023494425439
1696,792.7279133681604,-4962.678199017401,4841.259955489265
1697,789.881746494911,-4958.024280474268,4846.490737537969
1698,787.0346530549359,-4953.364545946221,4851.715834435611
1699,784.1866363880051,-4948.6990008993425,4856.935240052917
1700,781.3376998349678,-4944.027650806519,4862.148948267291
1701,778.4878467377556,-4939.350501147459,4867.35695296282
1702,775.6370804393756,-4934.667557408671,4872.559248030277
1703,772.7854042839012,-4929.978825083452,4877.755827367142
1704,769.9328216164795,-4925.2843096719,4882.946684877589
1705,767.0793357833155,-4920.584016680888,4888.131814472515
1706,764.2249501316774,-4915.877951624075,4893.311210069525
1707,761.3696680098886,-4911.166120021886,4898.484865592957
1708,758.5134927673209,-4906.448527401506,4903.652774973883
1709,755.6564277543981,-4901.725179296889,4908.814932150111
1710,752.798476322584,-4896.996081248729,4913.971331066202
1711,749.9396418243839,-4892.261238804474,4919.1219656734675
1712,747.0799276133408,-4887.520657518305,4924.2668299299785
1713,744.2193370440257,-4882.7743429511365,4929.405917800584
1714,741.3578734720413,-4878.022300670608,4934.5392232568975
1715,738.4955402540106,-4873.264536251079,4939.666740277328
1716,735.6323407475807,-4868.501055273621,4944.788462847065
1717,732.7682783114133,-4863.731863326011,4949.904384958095
1718,729.9033563051801,-4858.956966002723,4955.014500609217
1719,727.0375780895661,-4854.176368904929,4960.118803806031
1720,724.1709470262543,-4849.390077640481,4965.217288560966
1721,721.3034664779335,-4844.598097823914,4970.309948893268
1722,718.4351398082878,-4839.800435076437,4975.396778829015
1723,715.5659703819914,-4834.997095025921,4980.477772401131
1724,712.69596156471,-4830.188083306903,4985.552923649381
1725,709.8251167230912,-4825.3734055605655,4990.622226620388
1726,706.9534392247658,-4820.553067434744,4995.685675367628
1727,704.0809324383413,-4815.7270745839105,5000.743263951449
1728,701.2075997333948,-4810.895432669171,5005.794986439077
1729,698.333444480477,-4806.058147358261,5010.840836904608
1730,695.4584700510982,-4801.215224325527,5015.88080942904
1731,692.582679817734,-4796.36666925194,5020.914898100255
1732,689.706077153816,-4791.512487825073,5025.943097013041
1733,686.8286654337264,-4786.652685739095,5030.965400269098
1734,683.9504480328006,-4781.787268694776,5035.981801977034
1735,681.0714283273135,-4776.916242399463,5040.99229625239
1736,678.1916096944864,-4772.039612567092,5045.996877217629
