TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 20:34:41.000000000,-5.20488830168855,-68.6345139610769,600.174630120222
1 Jan 2020 20:34:42.000000000,-5.14307485439461,-68.6474382478071,600.170517745363
1 Jan 2020 20:34:43.000000000,-5.08126114203582,-68.6603608566993,600.166453970031
1 Jan 2020 20:34:44.000000000,-5.01944716780796,-68.6732818083363,600.162438813539
1 Jan 2020 20:34:45.000000000,-4.95763293490648,-68.6862011232919,600.158472294978
1 Jan 2020 20:34:46.000000000,-4.89581844652644,-68.6991188221159,600.154554433195
1 Jan 2020 20:34:47.000000000,-4.83400370586258,-68.7120349253524,600.150685246815
1 Jan 2020 20:34:48.000000000,-4.77218871610924,-68.7249494535241,600.14686475423
1 Jan 2020 20:34:49.000000000,-4.71037348046049,-68.7378624271433,600.143092973599
1 Jan 2020 20:34:50.000000000,-4.64855800211002,-68.7507738667079,600.139369922856
1 Jan 2020 20:34:51.000000000,-4.5867422842512,-68.7636837926977,600.135695619688
1 Jan 2020 20:34:52.000000000,-4.52492633007707,-68.7765922255841,600.132070081566
1 Jan 2020 20:34:53.000000000,-4.46311014278034,-68.7894991858191,600.128493325724
1 Jan 2020 20:34:54.000000000,-4.40129372555345,-68.802404693848,600.124965369163
1 Jan 2020 20:34:55.000000000,-4.33947708158846,-68.8153087700937,600.121486228652
1 Jan 2020 20:34:56.000000000,-4.27766021407715,-68.8282114349748,600.118055920732
1 Jan 2020 20:34:57.000000000,-4.21584312621103,-68.8411127088905,600.114674461707
1 Jan 2020 20:34:58.000000000,-4.15402582118128,-68.8540126122327,600.111341867647
1 Jan 2020 20:34:59.000000000,-4.0922083021788,-68.8669111653751,600.108058154398
1 Jan 2020 20:35:00.000000000,-4.03039057239418,-68.8798083886833,600.104823337567
1 Jan 2020 20:35:01.000000000,-3.96857263501776,-68.8927043025103,600.101637432533
1 Jan 2020 20:35:02.000000000,-3.90675449323958,-68.9055989271936,600.098500454442
1 Jan 2020 20:35:03.000000000,-3.84493615024943,-68.9184922830649,600.095412418199
1 Jan 2020 20:35:04.000000000,-3.78311760923678,-68.9313843904357,600.092373338492
1 Jan 2020 20:35:05.000000000,-3.7212988733909,-68.9442752696148,600.089383229757
1 Jan 2020 20:35:06.000000000,-3.65947994590074,-68.9571649408933,600.086442106222
1 Jan 2020 20:35:07.000000000,-3.59766082995507,-68.9700534245564,600.083549981855
1 Jan 2020 20:35:08.000000000,-3.53584152874233,-68.9829407408735,600.080706870412
1 Jan 2020 20:35:09.000000000,-3.47402204545077,-68.995826910108,600.077912785404
1 Jan 2020 20:35:10.000000000,-3.41220238326835,-69.0087119525081,600.075167740117
1 Jan 2020 20:35:11.000000000,-3.35038254538284,-69.0215958883153,600.072471747599
1 Jan 2020 20:35:12.000000000,-3.28856253498178,-69.0344787377622,600.069824820663
1 Jan 2020 20:35:13.000000000,-3.22674235525242,-69.047360521064,600.067226971899
1 Jan 2020 20:35:14.000000000,-3.16492200938186,-69.0602412584361,600.064678213647
1 Jan 2020 20:35:15.000000000,-3.10310150055695,-69.0731209700743,600.062178558029
1 Jan 2020 20:35:16.000000000,-3.04128083196429,-69.0859996761739,600.059728016931
1 Jan 2020 20:35:17.000000000,-2.97946000679034,-69.0988773969146,600.057326601997
1 Jan 2020 20:35:18.000000000,-2.91763902822131,-69.111754152471,600.054974324644
1 Jan 2020 20:35:19.000000000,-2.85581789944322,-69.1246299630088,600.052671196054
1 Jan 2020 20:35:20.000000000,-2.7939966236419,-69.1375048486811,600.050417227179
1 Jan 2020 20:35:21.000000000,-2.73217520400296,-69.1503788296379,600.048212428726
1 Jan 2020 20:35:22.000000000,-2.67035364371187,-69.1632519260157,600.046056811189
1 Jan 2020 20:35:23.000000000,-2.60853194595387,-69.1761241579493,600.043950384807
1 Jan 2020 20:35:24.000000000,-2.54671011391404,-69.1889955455567,600.041893159596
1 Jan 2020 20:35:25.000000000,-2.48488815077729,-69.2018661089571,600.039885145334
1 Jan 2020 20:35:26.000000000,-2.42306605972836,-69.2147358682557,600.037926351569
1 Jan 2020 20:35:27.000000000,-2.36124384395182,-69.2276048435543,600.036016787614
1 Jan 2020 20:35:28.000000000,-2.29942150663206,-69.2404730549477,600.034156462546
1 Jan 2020 20:35:29.000000000,-2.23759905095335,-69.2533405225194,600.032345385208
1 Jan 2020 20:35:30.000000000,-2.17577648009978,-69.2662072663517,600.030583564206
1 Jan 2020 20:35:31.000000000,-2.11395379725528,-69.279073306515,600.028871007925
1 Jan 2020 20:35:32.000000000,-2.05213100560367,-69.2919386630796,600.027207724503
1 Jan 2020 20:35:33.000000000,-1.9903081083286,-69.3048033561007,600.025593721842
1 Jan 2020 20:35:34.000000000,-1.92848510861361,-69.3176674056365,600.024029007619
1 Jan 2020 20:35:35.000000000,-1.86666200964207,-69.3305308317327,600.022513589274
1 Jan 2020 20:35:36.000000000,-1.80483881459728,-69.3433936544345,600.021047474012
1 Jan 2020 20:35:37.000000000,-1.74301552666233,-69.3562558937765,600.0196306688
1 Jan 2020 20:35:38.000000000,-1.68119214902029,-69.369117569792,600.018263180374
1 Jan 2020 20:35:39.000000000,-1.61936868485404,-69.3819787025089,600.016945015233
1 Jan 2020 20:35:40.000000000,-1.55754513734638,-69.3948393119464,600.015676179651
1 Jan 2020 20:35:41.000000000,-1.49572150967999,-69.4076994181253,600.014456679651
1 Jan 2020 20:35:42.000000000,-1.43389780503747,-69.4205590410529,600.013286521039
1 Jan 2020 20:35:43.000000000,-1.37207402660131,-69.433418200741,600.012165709374
1 Jan 2020 20:35:44.000000000,-1.31025017755387,-69.4462769171909,600.011094249986
1 Jan 2020 20:35:45.000000000,-1.24842626107748,-69.4591352104048,600.010072147963
1 Jan 2020 20:35:46.000000000,-1.18660228035434,-69.4719931003761,600.009099408172
1 Jan 2020 20:35:47.000000000,-1.12477823856659,-69.4848506070994,600.008176035235
1 Jan 2020 20:35:48.000000000,-1.06295413889629,-69.497707750561,600.007302033539
1 Jan 2020 20:35:49.000000000,-1.0011299845254,-69.5105645507475,600.006477407242
1 Jan 2020 20:35:50.000000000,-0.939305778635832,-69.5234210276438,600.005702160264
1 Jan 2020 20:35:51.000000000,-0.877481524409451,-69.536277201224,600.004976296292
1 Jan 2020 20:35:52.000000000,-0.815657225028018,-69.5491330914684,600.004299818774
1 Jan 2020 20:35:53.000000000,-0.753832883673263,-69.5619887183499,600.003672730929
1 Jan 2020 20:35:54.000000000,-0.692008503526869,-69.57484410184,600.003095035734
1 Jan 2020 20:35:55.000000000,-0.630184087770435,-69.5876992619067,600.002566735938
1 Jan 2020 20:35:56.000000000,-0.568359639585553,-69.6005542185187,600.002087834055
1 Jan 2020 20:35:57.000000000,-0.506535162153753,-69.6134089916426,600.001658332358
1 Jan 2020 20:35:58.000000000,-0.444710658656533,-69.6262636012398,600.001278232894
1 Jan 2020 20:35:59.000000000,-0.382886132275359,-69.639118067275,600.000947537462
1 Jan 2020 20:36:00.000000000,-0.321061586191664,-69.6519724097067,600.000666247641
1 Jan 2020 20:36:01.000000000,-0.259237023586853,-69.6648266484974,600.000434364762
1 Jan 2020 20:36:02.000000000,-0.19741244764232,-69.6776808036047,600.000251889934
1 Jan 2020 20:36:03.000000000,-0.135587861539436,-69.6905348949867,600.000118824024
1 Jan 2020 20:36:04.000000000,-0.0737632684595529,-69.7033889425997,600.000035167662
1 Jan 2020 20:36:05.000000000,-0.0119386715840324,-69.7162429664023,600.000000921245
1 Jan 2020 20:36:06.000000000,0.0498859259057916,-69.7290969863526,600.000016084935
1 Jan 2020 20:36:07.000000000,0.11171052082856,-69.741951022405,600.000080658667
1 Jan 2020 20:36:08.000000000,0.173535110002935,-69.7548050945191,600.000194642126
1 Jan 2020 20:36:09.000000000,0.235359690247575,-69.7676592226499,600.000358034774
1 Jan 2020 20:36:10.000000000,0.29718425838109,-69.7805134267578,600.000570835833
1 Jan 2020 20:36:11.000000000,0.359008811222123,-69.7933677268,600.000833044291
